venue_name,Loud music / events,Venue provides alcohol,Wi-Fi,supervenue,U-Shaped_max,max_standing,Theatre_max,Promoted / ticketed events,Wheelchair accessible
techspace aldgate east,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
green rooms hotel,True,1,True,False,40.0,120,80.0,True,False
148 leadenhall street,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
conway hall,False,0,True,False,35.04545454545455,60,60.0,False,False
gridiron building,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
kimpton fitzroy london,True,1,True,False,6.0,0,112.71586715867159,True,False
lloyds avenue,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
public space | members-style bar & dining,True,1,True,False,35.04545454545455,200,112.71586715867159,False,False
16 old queen street,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
siorai bar,True,1,True,False,35.04545454545455,180,20.0,True,False
sway,True,1,True,False,35.04545454545455,300,112.71586715867159,False,False
hop poles,True,1,True,False,35.04545454545455,46,40.0,False,False
munich cricket club canary wharf,False,1,True,False,35.04545454545455,150,112.71586715867159,False,False
dirty martini st. paul's,True,1,True,False,35.04545454545455,40,112.71586715867159,False,False
white collar factory,False,0,False,False,35.04545454545455,0,112.71586715867159,False,False
113 chancery lane,False,1,True,False,35.04545454545455,120,112.71586715867159,False,False
london dance academy,False,0,True,False,35.04545454545455,14,112.71586715867159,True,False
trapeze bar,True,1,True,False,20.0,64,30.0,False,False
the birds,False,1,True,False,50.0,130,100.0,False,False
wardour street,False,0,True,False,35.04545454545455,8,112.71586715867159,False,False
the king's head members club,False,1,False,False,35.04545454545455,0,112.71586715867159,True,False
grand ballroom at the montcalm,False,0,True,False,35.04545454545455,500,450.0,False,False
agdon house,False,1,True,False,30.0,80,30.0,True,False
91 wimpole street,False,1,True,False,35.04545454545455,0,112.71586715867159,False,False
phoenix,True,1,False,False,35.04545454545455,200,112.71586715867159,True,False
the gun,False,1,True,False,35.04545454545455,0,112.71586715867159,False,False
jamies st mary at hill,True,1,True,False,35.04545454545455,250,112.71586715867159,False,False
trapeze bar,True,1,True,False,40.0,200,70.0,False,False
the tattershall castle,True,1,True,False,35.04545454545455,50,112.71586715867159,False,False
piccadilly chambers,False,0,True,True,4.0,10,112.71586715867159,False,False
ample space,False,0,True,True,35.04545454545455,15,112.71586715867159,False,False
19 greek street,False,0,True,False,35.04545454545455,150,112.71586715867159,True,False
radisson blu edwardian vanderbilt,False,1,True,False,35.04545454545455,0,112.71586715867159,False,False
tt liquor,False,1,True,False,35.04545454545455,0,112.71586715867159,True,False
the duke of battersea,True,1,True,False,80.0,125,60.0,True,False
the whitecross tap,True,1,True,False,35.04545454545455,150,112.71586715867159,False,False
the marylebone london,True,1,True,False,35.04545454545455,70,50.0,False,False
friends house,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
clothworkers' hall,True,0,True,False,180.0,350,240.0,True,False
excel house halls,True,1,True,False,29.0,60,112.71586715867159,False,False
pub on the park,False,1,True,False,35.04545454545455,45,112.71586715867159,True,False
callooh callay shoreditch,True,1,True,False,35.04545454545455,80,112.71586715867159,True,False
"landmark – marylebone, london",False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
jamies st mary at hill,True,1,True,False,35.04545454545455,30,25.0,False,False
wardour street,False,0,True,False,35.04545454545455,8,112.71586715867159,False,False
cabana @ white city,True,1,True,False,25.0,100,35.0,True,False
henry wood house,False,0,True,False,35.04545454545455,0,80.0,False,False
white collar factory,False,0,False,False,35.04545454545455,0,112.71586715867159,False,False
sugar cane,True,1,True,False,35.04545454545455,120,112.71586715867159,False,False
club 16 soho,True,1,True,False,35.04545454545455,80,112.71586715867159,True,False
"tower hill, st. katherine docks",False,1,False,False,60.0,0,80.0,False,False
the music room,False,0,True,False,100.0,110,110.0,True,False
patch st paul's,False,1,True,False,35.04545454545455,35,112.71586715867159,False,False
space4,False,1,True,False,20.0,80,40.0,True,False
the goat chelsea,True,1,True,False,35.04545454545455,60,112.71586715867159,True,False
the big house,False,1,True,False,80.0,150,100.0,True,False
langham court,True,1,True,True,35.04545454545455,50,112.71586715867159,True,False
strathmore hotel,True,1,True,True,35.04545454545455,100,112.71586715867159,True,False
ruby blue,True,1,True,False,35.04545454545455,45,112.71586715867159,True,False
wallacespace st pancras,False,0,True,False,28.0,110,110.0,True,False
the bloomsbury building,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
bgm studios,False,0,True,False,35.04545454545455,55,112.71586715867159,False,False
fiction studios,False,0,True,False,35.04545454545455,20,112.71586715867159,False,False
boisdale of belgravia,False,1,True,False,35.04545454545455,0,112.71586715867159,True,False
the book club,True,1,True,False,35.04545454545455,200,80.0,True,False
lloyds avenue,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
headspace farringdon,False,0,True,True,35.04545454545455,0,112.71586715867159,True,False
the admiral hardy,True,1,True,False,70.0,150,112.71586715867159,True,False
inamo covent garden,False,1,True,False,35.04545454545455,0,112.71586715867159,False,False
public space | islington restaurant,True,1,True,False,35.04545454545455,200,112.71586715867159,True,False
one moorgate place,False,1,True,False,35.04545454545455,0,112.71586715867159,False,False
"bloomsbury, handel street",False,1,False,False,35.04545454545455,100,100.0,False,False
the spice of life - soho,True,1,True,False,35.04545454545455,100,112.71586715867159,True,False
"fulham, fulham high street",False,1,True,False,30.0,0,40.0,False,False
hilton london paddington,False,1,True,False,35.04545454545455,0,24.0,False,False
the milk float,False,1,False,False,46.0,0,112.71586715867159,False,False
liban tapas restaurant south woodford,True,1,True,False,35.04545454545455,0,112.71586715867159,True,False
mrs fogg's,False,1,True,False,35.04545454545455,250,112.71586715867159,False,False
arch160,False,0,True,False,30.0,30,30.0,False,False
radisson blu edwardian bloomsbury st,True,1,True,False,40.0,240,150.0,True,False
gymkhana,False,1,True,False,35.04545454545455,100,112.71586715867159,False,False
byoc camden,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
hallam conference centre,False,0,True,False,45.0,130,130.0,False,False
balls brothers minster court,True,1,True,False,35.04545454545455,120,90.0,False,False
east putney tavern,True,1,True,False,35.04545454545455,40,112.71586715867159,False,False
lloyds avenue,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
hoppers marylebone,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
the workary welling,False,0,True,False,8.0,8,8.0,True,False
kindred,True,1,True,True,35.04545454545455,0,112.71586715867159,True,False
beach blanket babylon,True,1,True,False,35.04545454545455,100,112.71586715867159,True,False
hoppers soho,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
175 st john's street,False,0,True,False,35.04545454545455,0,40.0,False,False
gaucho broadgate,False,1,True,False,35.04545454545455,282,112.71586715867159,False,False
the crosswall,True,1,True,False,35.04545454545455,120,112.71586715867159,False,False
dock street studios,True,0,False,False,35.04545454545455,10,112.71586715867159,False,False
the hydrant,True,1,True,False,35.04545454545455,20,112.71586715867159,False,False
chelsea football club,True,1,True,False,35.04545454545455,180,112.71586715867159,True,False
odeon covent garden,True,1,True,False,35.04545454545455,0,152.0,True,False
aim escape rooms,False,0,True,False,35.04545454545455,5,112.71586715867159,False,False
skylight,False,1,True,False,35.04545454545455,400,112.71586715867159,False,False
popworld watling street,True,1,True,False,35.04545454545455,30,112.71586715867159,False,False
the punchbowl,False,1,True,False,35.04545454545455,40,112.71586715867159,False,False
bbe podcast/youtube/photography studio,True,1,True,False,35.04545454545455,7,112.71586715867159,True,False
bella italia irving street,False,1,True,False,20.0,50,30.0,False,False
laki kane,True,1,True,False,35.04545454545455,30,20.0,True,False
l'oscar london,False,1,True,False,30.0,100,80.0,False,False
"fulham, fulham high street",False,1,False,False,35.04545454545455,150,120.0,False,False
great guns social,True,1,True,False,35.04545454545455,35,15.0,True,False
kirby street,False,0,True,False,35.04545454545455,0,112.71586715867159,False,False
one moorgate place,False,1,True,False,35.04545454545455,40,20.0,False,False
cherryduck studios,False,0,True,False,35.04545454545455,30,112.71586715867159,False,False
